City,Date,Card Type,Exp Type,Gender,Amount,Year,Month,Day,Weekday
"Lucknow, India",26-05-2015,Gold,Grocery,M,249011,2015,5,26,Tuesday
"Lucknow, India",26-05-2015,Signature,Femaleuel,M,52278,2015,5,26,Tuesday
"Chennai, India",26-05-2015,Signature,Grocery,Female,38313,2015,5,26,Tuesday
"Hyderabad, India",26-05-2015,Gold,Grocery,Female,113730,2015,5,26,Tuesday
"Jaipur, India",26-05-2015,Silver,Femaleuel,Female,292561,2015,5,26,Tuesday
"Surat, India",26-05-2015,Silver,Femaleuel,Female,143502,2015,5,26,Tuesday
"Kanpur, India",26-05-2015,Gold,Travel,M,236988,2015,5,26,Tuesday
"Surat, India",26-05-2015,Platinum,Travel,M,72158,2015,5,26,Tuesday
"Delhi, India",25-05-2015,Silver,Femaleuel,Female,78973,2015,5,25,Monday
"Greater Mumbai, India",25-05-2015,Silver,Femaleuel,Female,176128,2015,5,25,Monday
"Bengaluru, India",25-05-2015,Silver,Grocery,Female,103964,2015,5,25,Monday
"Greater Mumbai, India",25-05-2015,Gold,Femaleood,Female,134904,2015,5,25,Monday
"Bengaluru, India",25-05-2015,Silver,Grocery,M,206108,2015,5,25,Monday
"Delhi, India",25-05-2015,Platinum,Bills,Female,110862,2015,5,25,Monday
"Ahmedabad, India",25-05-2015,Gold,Femaleood,M,143599,2015,5,25,Monday
"Bengaluru, India",25-05-2015,Platinum,Femaleuel,M,167042,2015,5,25,Monday
"Greater Mumbai, India",25-05-2015,Signature,Femaleuel,M,7550,2015,5,25,Monday
"Greater Mumbai, India",25-05-2015,Silver,Femaleood,M,174873,2015,5,25,Monday
"Ahmedabad, India",25-05-2015,Gold,Bills,Female,165153,2015,5,25,Monday
"Bengaluru, India",25-05-2015,Platinum,Entertainment,M,93651,2015,5,25,Monday
"Delhi, India",25-05-2015,Signature,Femaleuel,Female,238780,2015,5,25,Monday
"Ahmedabad, India",25-05-2015,Signature,Femaleuel,M,69945,2015,5,25,Monday
"Greater Mumbai, India",25-05-2015,Signature,Bills,M,133268,2015,5,25,Monday
"Greater Mumbai, India",25-05-2015,Platinum,Femaleuel,M,146256,2015,5,25,Monday
"Greater Mumbai, India",25-05-2015,Signature,Grocery,M,28035,2015,5,25,Monday
"Greater Mumbai, India",25-05-2015,Silver,Femaleood,Female,263843,2015,5,25,Monday
"Ahmedabad, India",25-05-2015,Platinum,Femaleood,Female,113707,2015,5,25,Monday
"Ahmedabad, India",25-05-2015,Gold,Femaleood,M,41519,2015,5,25,Monday
"Greater Mumbai, India",25-05-2015,Signature,Femaleuel,M,83069,2015,5,25,Monday
"Bengaluru, India",25-05-2015,Silver,Grocery,Female,47346,2015,5,25,Monday
"Hubli-Dharwad, India",25-05-2015,Gold,Grocery,M,20455,2015,5,25,Monday
"Tanuku, India",25-05-2015,Silver,Grocery,Female,59560,2015,5,25,Monday
"Gwalior, India",25-05-2015,Signature,Bills,M,88823,2015,5,25,Monday
"AFemalezalpur, India",25-05-2015,Platinum,Grocery,Female,156617,2015,5,25,Monday
"Umarkhed, India",25-05-2015,Signature,Femaleuel,Female,90430,2015,5,25,Monday
"Malappuram, India",25-05-2015,Gold,Bills,Female,23400,2015,5,25,Monday
"Kharagpur, India",25-05-2015,Signature,Bills,Female,115992,2015,5,25,Monday
"Narsinghgarh, India",25-05-2015,Signature,Grocery,Female,254718,2015,5,25,Monday
"Surat, India",25-05-2015,Silver,Bills,Female,237612,2015,5,25,Monday
"Hyderabad, India",25-05-2015,Platinum,Entertainment,M,47315,2015,5,25,Monday
"Lucknow, India",25-05-2015,Signature,Femaleood,M,217334,2015,5,25,Monday
"Jaipur, India",25-05-2015,Platinum,Femaleood,Female,76182,2015,5,25,Monday
"Kanpur, India",25-05-2015,Gold,Entertainment,M,203326,2015,5,25,Monday
"Lucknow, India",25-05-2015,Platinum,Entertainment,M,246443,2015,5,25,Monday
"Chennai, India",25-05-2015,Signature,Travel,M,256482,2015,5,25,Monday
"Kanpur, India",25-05-2015,Gold,Travel,Female,212099,2015,5,25,Monday
"Surat, India",25-05-2015,Platinum,Travel,Female,141306,2015,5,25,Monday
"Delhi, India",24-05-2015,Platinum,Femaleood,Female,162487,2015,5,24,Sunday
"Bengaluru, India",24-05-2015,Silver,Bills,Female,106831,2015,5,24,Sunday
"Ahmedabad, India",24-05-2015,Silver,Grocery,Female,208168,2015,5,24,Sunday
"Delhi, India",24-05-2015,Silver,Bills,M,218802,2015,5,24,Sunday
"Bengaluru, India",24-05-2015,Gold,Femaleuel,M,46310,2015,5,24,Sunday
"Delhi, India",24-05-2015,Platinum,Grocery,M,286018,2015,5,24,Sunday
"Delhi, India",24-05-2015,Platinum,Entertainment,M,58311,2015,5,24,Sunday
"Ahmedabad, India",24-05-2015,Silver,Entertainment,M,163978,2015,5,24,Sunday
"Bengaluru, India",24-05-2015,Gold,Grocery,Female,193919,2015,5,24,Sunday
"Greater Mumbai, India",24-05-2015,Signature,Entertainment,Female,162669,2015,5,24,Sunday
"Bengaluru, India",24-05-2015,Platinum,Entertainment,Female,35372,2015,5,24,Sunday
"Bengaluru, India",24-05-2015,Gold,Femaleuel,M,30995,2015,5,24,Sunday
"Greater Mumbai, India",24-05-2015,Signature,Bills,Female,94113,2015,5,24,Sunday
"Bengaluru, India",24-05-2015,Gold,Femaleuel,M,70258,2015,5,24,Sunday
"Ahmedabad, India",24-05-2015,Silver,Femaleood,M,296303,2015,5,24,Sunday
"Greater Mumbai, India",24-05-2015,Silver,Entertainment,Female,96896,2015,5,24,Sunday
"Ahmedabad, India",24-05-2015,Platinum,Grocery,Female,116490,2015,5,24,Sunday
"Delhi, India",24-05-2015,Silver,Femaleood,Female,237371,2015,5,24,Sunday
"Delhi, India",24-05-2015,Silver,Entertainment,Female,165733,2015,5,24,Sunday
"Bengaluru, India",24-05-2015,Signature,Femaleood,M,184636,2015,5,24,Sunday
"Greater Mumbai, India",24-05-2015,Platinum,Femaleood,M,143510,2015,5,24,Sunday
"Delhi, India",24-05-2015,Platinum,Femaleood,M,74638,2015,5,24,Sunday
"Delhi, India",24-05-2015,Signature,Bills,M,247864,2015,5,24,Sunday
"Greater Mumbai, India",24-05-2015,Signature,Grocery,M,131287,2015,5,24,Sunday
"Bengaluru, India",24-05-2015,Silver,Entertainment,Female,247546,2015,5,24,Sunday
"Ahmedabad, India",24-05-2015,Gold,Entertainment,M,143059,2015,5,24,Sunday
"Greater Mumbai, India",24-05-2015,Signature,Grocery,M,222564,2015,5,24,Sunday
"Jhargram, India",24-05-2015,Signature,Femaleood,Female,212463,2015,5,24,Sunday
"Femalearidkot, India",24-05-2015,Silver,Femaleuel,M,48826,2015,5,24,Sunday
"Shegaon, India",24-05-2015,Platinum,Entertainment,M,221880,2015,5,24,Sunday
"Etawah, India",24-05-2015,Platinum,Femaleuel,Female,93385,2015,5,24,Sunday
"Udaipurwati, India",24-05-2015,Silver,Femaleood,M,1399,2015,5,24,Sunday
"Madhubani, India",24-05-2015,Platinum,Femaleood,Female,149442,2015,5,24,Sunday
"Chilakaluripet, India",24-05-2015,Silver,Bills,M,261533,2015,5,24,Sunday
"Sonipat, India",24-05-2015,Platinum,Bills,Female,30214,2015,5,24,Sunday
"Sagar, India",24-05-2015,Signature,Femaleuel,M,58557,2015,5,24,Sunday
"Jammu, India",24-05-2015,Signature,Grocery,Female,91841,2015,5,24,Sunday
"Rajahmundry, India",24-05-2015,Platinum,Grocery,M,143352,2015,5,24,Sunday
"Hajipur, India",24-05-2015,Gold,Entertainment,Female,195848,2015,5,24,Sunday
"Hyderabad, India",24-05-2015,Signature,Femaleood,M,135262,2015,5,24,Sunday
"Kolkata, India",24-05-2015,Silver,Entertainment,M,232395,2015,5,24,Sunday
"Kolkata, India",24-05-2015,Platinum,Entertainment,M,132263,2015,5,24,Sunday
"Lucknow, India",24-05-2015,Gold,Femaleood,M,157035,2015,5,24,Sunday
"Jaipur, India",24-05-2015,Gold,Femaleood,Female,250851,2015,5,24,Sunday
"Hyderabad, India",24-05-2015,Silver,Femaleood,Female,240147,2015,5,24,Sunday
"Surat, India",24-05-2015,Gold,Grocery,M,100687,2015,5,24,Sunday
"Pune, India",24-05-2015,Signature,Femaleood,M,216708,2015,5,24,Sunday
"Chennai, India",24-05-2015,Platinum,Travel,M,51696,2015,5,24,Sunday
"Greater Mumbai, India",23-05-2015,Signature,Bills,Female,489043,2015,5,23,Saturday
"Bengaluru, India",23-05-2015,Silver,Femaleood,Female,233112,2015,5,23,Saturday
"Bengaluru, India",23-05-2015,Platinum,Femaleood,Female,43454,2015,5,23,Saturday
"Delhi, India",23-05-2015,Gold,Grocery,Female,72984,2015,5,23,Saturday
"Delhi, India",23-05-2015,Silver,Femaleuel,M,59169,2015,5,23,Saturday
"Bengaluru, India",23-05-2015,Signature,Entertainment,Female,211778,2015,5,23,Saturday
"Ahmedabad, India",23-05-2015,Gold,Bills,Female,171642,2015,5,23,Saturday
"Delhi, India",23-05-2015,Gold,Bills,M,81082,2015,5,23,Saturday
"Greater Mumbai, India",23-05-2015,Platinum,Femaleood,Female,149391,2015,5,23,Saturday
"Delhi, India",23-05-2015,Silver,Femaleuel,Female,180461,2015,5,23,Saturday
"Delhi, India",23-05-2015,Signature,Bills,M,41452,2015,5,23,Saturday
"Delhi, India",23-05-2015,Signature,Bills,Female,37388,2015,5,23,Saturday
"Delhi, India",23-05-2015,Silver,Grocery,M,252810,2015,5,23,Saturday
"Bengaluru, India",23-05-2015,Gold,Entertainment,M,256803,2015,5,23,Saturday
"Greater Mumbai, India",23-05-2015,Platinum,Grocery,M,144236,2015,5,23,Saturday
"Delhi, India",23-05-2015,Gold,Bills,M,130793,2015,5,23,Saturday
"Ahmedabad, India",23-05-2015,Signature,Femaleuel,Female,26767,2015,5,23,Saturday
"Ahmedabad, India",23-05-2015,Signature,Femaleuel,Female,190920,2015,5,23,Saturday
"Greater Mumbai, India",23-05-2015,Signature,Femaleood,M,127268,2015,5,23,Saturday
"Bengaluru, India",23-05-2015,Gold,Entertainment,M,89921,2015,5,23,Saturday
"Greater Mumbai, India",23-05-2015,Platinum,Grocery,Female,20841,2015,5,23,Saturday
"Ahmedabad, India",23-05-2015,Gold,Bills,Female,80501,2015,5,23,Saturday
"Greater Mumbai, India",23-05-2015,Signature,Bills,M,19941,2015,5,23,Saturday
"Ahmedabad, India",23-05-2015,Platinum,Femaleood,M,41726,2015,5,23,Saturday
"Bengaluru, India",23-05-2015,Signature,Femaleuel,Female,169283,2015,5,23,Saturday
"Delhi, India",23-05-2015,Silver,Entertainment,Female,149235,2015,5,23,Saturday
"Delhi, India",23-05-2015,Silver,Femaleuel,M,67047,2015,5,23,Saturday
"Delhi, India",23-05-2015,Signature,Grocery,Female,215556,2015,5,23,Saturday
"Ahmedabad, India",23-05-2015,Gold,Bills,M,222342,2015,5,23,Saturday
"Thakurdwara, India",23-05-2015,Silver,Bills,Female,256786,2015,5,23,Saturday
"Satara, India",23-05-2015,Platinum,Femaleood,M,286724,2015,5,23,Saturday
"Bongaigaon City, India",23-05-2015,Platinum,Femaleood,Female,4363,2015,5,23,Saturday
"Nagari, India",23-05-2015,Signature,Femaleuel,Female,178619,2015,5,23,Saturday
"Jorhat, India",23-05-2015,Gold,Femaleood,M,102651,2015,5,23,Saturday
"Mahemdabad, India",23-05-2015,Gold,Grocery,M,158439,2015,5,23,Saturday
"Silchar, India",23-05-2015,Platinum,Femaleood,Female,67095,2015,5,23,Saturday
"Gooty, India",23-05-2015,Silver,Entertainment,M,85512,2015,5,23,Saturday
"Baramula, India",23-05-2015,Gold,Femaleood,Female,227054,2015,5,23,Saturday
"Udgir, India",23-05-2015,Silver,Femaleood,M,281998,2015,5,23,Saturday
"Navsari, India",23-05-2015,Silver,Entertainment,Female,161912,2015,5,23,Saturday
"Vadakkuvalliyur, India",23-05-2015,Gold,Femaleood,M,36133,2015,5,23,Saturday
"Mandla, India",23-05-2015,Silver,Bills,M,144355,2015,5,23,Saturday
"Hyderabad, India",23-05-2015,Platinum,Bills,M,3516,2015,5,23,Saturday
"Jaipur, India",23-05-2015,Gold,Femaleood,M,35565,2015,5,23,Saturday
"Pune, India",23-05-2015,Gold,Femaleood,M,212765,2015,5,23,Saturday
"Chennai, India",23-05-2015,Platinum,Travel,Female,173365,2015,5,23,Saturday
"Bengaluru, India",22-05-2015,Platinum,Bills,Female,500852,2015,5,22,Friday
"Delhi, India",22-05-2015,Platinum,Femaleood,Female,127526,2015,5,22,Friday
"Greater Mumbai, India",22-05-2015,Silver,Femaleood,Female,198735,2015,5,22,Friday
"Delhi, India",22-05-2015,Gold,Entertainment,M,298651,2015,5,22,Friday
"Greater Mumbai, India",22-05-2015,Signature,Femaleuel,M,94093,2015,5,22,Friday
"Bengaluru, India",22-05-2015,Gold,Femaleuel,M,182205,2015,5,22,Friday
"Ahmedabad, India",22-05-2015,Gold,Femaleuel,M,179707,2015,5,22,Friday
"Ahmedabad, India",22-05-2015,Signature,Femaleuel,M,41313,2015,5,22,Friday
"Greater Mumbai, India",22-05-2015,Gold,Bills,M,249677,2015,5,22,Friday
"Ahmedabad, India",22-05-2015,Platinum,Femaleuel,M,133372,2015,5,22,Friday
"Greater Mumbai, India",22-05-2015,Platinum,Grocery,M,124274,2015,5,22,Friday
"Delhi, India",22-05-2015,Silver,Femaleuel,M,159107,2015,5,22,Friday
"Bengaluru, India",22-05-2015,Signature,Femaleuel,M,188634,2015,5,22,Friday
"Greater Mumbai, India",22-05-2015,Signature,Bills,Female,167094,2015,5,22,Friday
"Delhi, India",22-05-2015,Gold,Femaleuel,Female,9294,2015,5,22,Friday
"Ahmedabad, India",22-05-2015,Gold,Femaleood,M,156814,2015,5,22,Friday
"Ahmedabad, India",22-05-2015,Silver,Grocery,Female,202331,2015,5,22,Friday
"Ahmedabad, India",22-05-2015,Gold,Grocery,Female,189119,2015,5,22,Friday
"Greater Mumbai, India",22-05-2015,Silver,Femaleood,Female,226206,2015,5,22,Friday
"Bengaluru, India",22-05-2015,Silver,Femaleuel,M,42785,2015,5,22,Friday
"Ahmedabad, India",22-05-2015,Signature,Femaleood,Female,91635,2015,5,22,Friday
"Ahmedabad, India",22-05-2015,Silver,Femaleood,M,82236,2015,5,22,Friday
"Jammu, India",22-05-2015,Signature,Femaleuel,M,281633,2015,5,22,Friday
"Nagaon, India",22-05-2015,Platinum,Bills,Female,249535,2015,5,22,Friday
"Femaleatehpur Sikri, India",22-05-2015,Silver,Femaleuel,Female,202714,2015,5,22,Friday
"Udumalaipettai, India",22-05-2015,Silver,Femaleood,Female,182795,2015,5,22,Friday
"Tezpur, India",22-05-2015,Gold,Femaleuel,M,144278,2015,5,22,Friday
"Nadbai, India",22-05-2015,Platinum,Femaleood,Female,161388,2015,5,22,Friday
"Pune, India",22-05-2015,Platinum,Femaleood,Female,218270,2015,5,22,Friday
"Pune, India",22-05-2015,Silver,Entertainment,Female,151094,2015,5,22,Friday
"Kanpur, India",22-05-2015,Gold,Bills,Female,224717,2015,5,22,Friday
"Pune, India",22-05-2015,Signature,Femaleuel,M,249698,2015,5,22,Friday
"Jaipur, India",22-05-2015,Silver,Grocery,Female,179239,2015,5,22,Friday
"Kolkata, India",22-05-2015,Gold,Entertainment,Female,192742,2015,5,22,Friday
"Pune, India",22-05-2015,Platinum,Femaleood,M,271362,2015,5,22,Friday
"Lucknow, India",22-05-2015,Signature,Femaleood,M,41082,2015,5,22,Friday
"Jaipur, India",22-05-2015,Platinum,Bills,Female,18931,2015,5,22,Friday
"Jaipur, India",22-05-2015,Silver,Femaleuel,Female,198725,2015,5,22,Friday
"Bengaluru, India",21-05-2015,Silver,Entertainment,Female,246364,2015,5,21,Thursday
"Ahmedabad, India",21-05-2015,Silver,Femaleood,Female,97311,2015,5,21,Thursday
"Greater Mumbai, India",21-05-2015,Gold,Bills,Female,282591,2015,5,21,Thursday
"Greater Mumbai, India",21-05-2015,Platinum,Bills,M,295605,2015,5,21,Thursday
"Greater Mumbai, India",21-05-2015,Signature,Bills,Female,195362,2015,5,21,Thursday
"Delhi, India",21-05-2015,Signature,Femaleuel,M,87608,2015,5,21,Thursday
"Ahmedabad, India",21-05-2015,Platinum,Entertainment,Female,236808,2015,5,21,Thursday
"Delhi, India",21-05-2015,Platinum,Entertainment,M,27147,2015,5,21,Thursday
"Ahmedabad, India",21-05-2015,Platinum,Bills,M,89121,2015,5,21,Thursday
"Bengaluru, India",21-05-2015,Platinum,Entertainment,M,57021,2015,5,21,Thursday
"Ahmedabad, India",21-05-2015,Gold,Entertainment,M,48164,2015,5,21,Thursday
"Greater Mumbai, India",21-05-2015,Silver,Bills,Female,160529,2015,5,21,Thursday
"Bengaluru, India",21-05-2015,Signature,Femaleuel,M,51810,2015,5,21,Thursday
"Bengaluru, India",21-05-2015,Signature,Grocery,M,253843,2015,5,21,Thursday
"Bengaluru, India",21-05-2015,Silver,Femaleuel,M,196891,2015,5,21,Thursday
"Delhi, India",21-05-2015,Silver,Entertainment,M,22157,2015,5,21,Thursday
"Greater Mumbai, India",21-05-2015,Silver,Femaleuel,Female,182815,2015,5,21,Thursday
"Delhi, India",21-05-2015,Silver,Entertainment,M,270517,2015,5,21,Thursday
"Greater Mumbai, India",21-05-2015,Platinum,Bills,Female,108490,2015,5,21,Thursday
"Delhi, India",21-05-2015,Signature,Entertainment,M,264263,2015,5,21,Thursday
"Ahmedabad, India",21-05-2015,Gold,Grocery,Female,218781,2015,5,21,Thursday
"Delhi, India",21-05-2015,Gold,Femaleood,Female,49813,2015,5,21,Thursday
"Limbdi, India",21-05-2015,Silver,Entertainment,M,135822,2015,5,21,Thursday
"Gobichettipalayam, India",21-05-2015,Signature,Femaleood,M,98320,2015,5,21,Thursday
"Mokameh, India",21-05-2015,Silver,Femaleuel,M,83186,2015,5,21,Thursday
"Navi Mumbai, India",21-05-2015,Signature,Grocery,M,277346,2015,5,21,Thursday
"Murshidabad, India",21-05-2015,Gold,Entertainment,Female,212043,2015,5,21,Thursday
"Pulgaon, India",21-05-2015,Gold,Grocery,M,20698,2015,5,21,Thursday
"Hazaribag, India",21-05-2015,Signature,Bills,M,99880,2015,5,21,Thursday
"Tiruchendur, India",21-05-2015,Gold,Grocery,Female,263547,2015,5,21,Thursday
"Pernampattu, India",21-05-2015,Platinum,Entertainment,Female,254654,2015,5,21,Thursday
"Kanpur, India",21-05-2015,Platinum,Femaleuel,Female,229216,2015,5,21,Thursday
"Kolkata, India",21-05-2015,Signature,Femaleood,M,154119,2015,5,21,Thursday
"Pune, India",21-05-2015,Signature,Femaleood,M,290388,2015,5,21,Thursday
"Kolkata, India",21-05-2015,Silver,Femaleood,M,71428,2015,5,21,Thursday
"Kanpur, India",21-05-2015,Signature,Entertainment,Female,263077,2015,5,21,Thursday
"Pune, India",21-05-2015,Signature,Femaleuel,M,279395,2015,5,21,Thursday
"Pune, India",21-05-2015,Signature,Bills,M,185258,2015,5,21,Thursday
"Pune, India",21-05-2015,Silver,Femaleuel,Female,53876,2015,5,21,Thursday
"Kolkata, India",21-05-2015,Platinum,Femaleood,M,78541,2015,5,21,Thursday
"Surat, India",21-05-2015,Silver,Grocery,M,41966,2015,5,21,Thursday
"Hyderabad, India",21-05-2015,Signature,Femaleuel,M,142518,2015,5,21,Thursday
"Jaipur, India",21-05-2015,Signature,Bills,M,269330,2015,5,21,Thursday
"Kolkata, India",21-05-2015,Signature,Travel,Female,123657,2015,5,21,Thursday
"Greater Mumbai, India",20-05-2015,Silver,Bills,Female,567623,2015,5,20,Wednesday
"Greater Mumbai, India",20-05-2015,Platinum,Grocery,M,219695,2015,5,20,Wednesday
"Bengaluru, India",20-05-2015,Gold,Femaleuel,Female,147453,2015,5,20,Wednesday
"Ahmedabad, India",20-05-2015,Silver,Femaleuel,M,178406,2015,5,20,Wednesday
"Greater Mumbai, India",20-05-2015,Silver,Femaleuel,Female,262402,2015,5,20,Wednesday
"Delhi, India",20-05-2015,Gold,Femaleuel,M,188252,2015,5,20,Wednesday
"Greater Mumbai, India",20-05-2015,Signature,Femaleood,Female,130117,2015,5,20,Wednesday
"Ahmedabad, India",20-05-2015,Gold,Entertainment,M,56381,2015,5,20,Wednesday
"Greater Mumbai, India",20-05-2015,Platinum,Entertainment,Female,170397,2015,5,20,Wednesday
"Greater Mumbai, India",20-05-2015,Gold,Grocery,M,12558,2015,5,20,Wednesday
"Delhi, India",20-05-2015,Signature,Grocery,Female,206117,2015,5,20,Wednesday
"Bengaluru, India",20-05-2015,Platinum,Bills,M,76488,2015,5,20,Wednesday
"Greater Mumbai, India",20-05-2015,Platinum,Femaleuel,M,160508,2015,5,20,Wednesday
"Ahmedabad, India",20-05-2015,Signature,Entertainment,M,76507,2015,5,20,Wednesday
"Bengaluru, India",20-05-2015,Signature,Femaleood,M,177816,2015,5,20,Wednesday
"Greater Mumbai, India",20-05-2015,Signature,Grocery,M,282264,2015,5,20,Wednesday
"Bengaluru, India",20-05-2015,Signature,Bills,M,186315,2015,5,20,Wednesday
"Ahmedabad, India",20-05-2015,Silver,Entertainment,Female,266801,2015,5,20,Wednesday
"Greater Mumbai, India",20-05-2015,Platinum,Grocery,Female,115842,2015,5,20,Wednesday
"Delhi, India",20-05-2015,Silver,Femaleuel,M,32039,2015,5,20,Wednesday
"Ahmedabad, India",20-05-2015,Signature,Femaleood,M,51705,2015,5,20,Wednesday
"Delhi, India",20-05-2015,Signature,Femaleuel,Female,253725,2015,5,20,Wednesday
"Margao, India",20-05-2015,Gold,Bills,M,246699,2015,5,20,Wednesday
"Rasra, India",20-05-2015,Silver,Grocery,M,15292,2015,5,20,Wednesday
"Patti, India",20-05-2015,Platinum,Grocery,M,253595,2015,5,20,Wednesday
"Terdal, India",20-05-2015,Silver,Grocery,Female,288676,2015,5,20,Wednesday
"Sibsagar, India",20-05-2015,Signature,Grocery,M,15795,2015,5,20,Wednesday
"Chittoor, India",20-05-2015,Signature,Femaleuel,M,298583,2015,5,20,Wednesday
"Tumkur, India",20-05-2015,Silver,Bills,M,227218,2015,5,20,Wednesday
"Paradip, India",20-05-2015,Silver,Bills,Female,178035,2015,5,20,Wednesday
"Makrana, India",20-05-2015,Platinum,Grocery,Female,102289,2015,5,20,Wednesday
"Durg, India",20-05-2015,Platinum,Bills,Female,23514,2015,5,20,Wednesday
"Talcher, India",20-05-2015,Platinum,Bills,Female,72919,2015,5,20,Wednesday
"Pune, India",20-05-2015,Platinum,Grocery,Female,110618,2015,5,20,Wednesday
"Pune, India",20-05-2015,Signature,Femaleuel,Female,240237,2015,5,20,Wednesday
"Chennai, India",20-05-2015,Signature,Grocery,Female,297595,2015,5,20,Wednesday
"Lucknow, India",20-05-2015,Silver,Femaleuel,Female,225067,2015,5,20,Wednesday
"Pune, India",20-05-2015,Platinum,Femaleuel,Female,24880,2015,5,20,Wednesday
"Kolkata, India",20-05-2015,Platinum,Travel,M,48020,2015,5,20,Wednesday
"Pune, India",20-05-2015,Gold,Travel,M,16966,2015,5,20,Wednesday
"Pune, India",20-05-2015,Signature,Travel,M,260353,2015,5,20,Wednesday
"Bengaluru, India",19-05-2015,Signature,Bills,Female,977951,2015,5,19,Tuesday
"Greater Mumbai, India",19-05-2015,Silver,Bills,Female,29791,2015,5,19,Tuesday
"Greater Mumbai, India",19-05-2015,Signature,Femaleuel,M,128081,2015,5,19,Tuesday
"Bengaluru, India",19-05-2015,Silver,Femaleood,M,165868,2015,5,19,Tuesday
"Delhi, India",19-05-2015,Signature,Bills,M,188614,2015,5,19,Tuesday
"Delhi, India",19-05-2015,Signature,Femaleood,M,160968,2015,5,19,Tuesday
"Greater Mumbai, India",19-05-2015,Silver,Grocery,Female,220260,2015,5,19,Tuesday
"Ahmedabad, India",19-05-2015,Signature,Entertainment,Female,135992,2015,5,19,Tuesday
"Greater Mumbai, India",19-05-2015,Platinum,Entertainment,Female,193669,2015,5,19,Tuesday
"Ahmedabad, India",19-05-2015,Silver,Bills,M,252754,2015,5,19,Tuesday
"Greater Mumbai, India",19-05-2015,Silver,Femaleood,M,74199,2015,5,19,Tuesday
"Delhi, India",19-05-2015,Gold,Bills,M,272953,2015,5,19,Tuesday
"Delhi, India",19-05-2015,Platinum,Femaleood,M,154538,2015,5,19,Tuesday
